id,entity_id,cmp_id,component_type,field,order
241,88,192,accommodation.service,Accommodation_Service,3.0
242,88,193,accommodation.service,Accommodation_Service,4.0
243,88,194,accommodation.service,Accommodation_Service,5.0
244,141,195,accommodation.service,Accommodation_Service,1.0
245,141,196,accommodation.service,Accommodation_Service,2.0
246,141,197,accommodation.service,Accommodation_Service,3.0
247,141,198,accommodation.service,Accommodation_Service,4.0
248,141,199,accommodation.service,Accommodation_Service,5.0
249,113,200,accommodation.service,Accommodation_Service,1.0
250,113,201,accommodation.service,Accommodation_Service,2.0
251,113,202,accommodation.service,Accommodation_Service,3.0
252,113,203,accommodation.service,Accommodation_Service,4.0
253,142,204,accommodation.service,Accommodation_Service,1.0
254,142,205,accommodation.service,Accommodation_Service,2.0
255,142,206,accommodation.service,Accommodation_Service,3.0
256,142,207,accommodation.service,Accommodation_Service,4.0
257,65,208,accommodation.service,Accommodation_Service,1.0
259,90,210,accommodation.service,Accommodation_Service,1.0
260,90,211,accommodation.service,Accommodation_Service,2.0
261,90,212,accommodation.service,Accommodation_Service,3.0
262,90,213,accommodation.service,Accommodation_Service,4.0
263,146,214,accommodation.service,Accommodation_Service,1.0
264,146,215,accommodation.service,Accommodation_Service,2.0
265,146,216,accommodation.service,Accommodation_Service,3.0
266,146,217,accommodation.service,Accommodation_Service,4.0
267,124,218,accommodation.service,Accommodation_Service,1.0
268,124,219,accommodation.service,Accommodation_Service,2.0
269,124,220,accommodation.service,Accommodation_Service,3.0
270,124,221,accommodation.service,Accommodation_Service,4.0
271,124,222,accommodation.service,Accommodation_Service,5.0
272,124,223,accommodation.service,Accommodation_Service,6.0
273,124,224,accommodation.service,Accommodation_Service,7.0
274,147,225,accommodation.service,Accommodation_Service,1.0
275,147,226,accommodation.service,Accommodation_Service,2.0
276,147,227,accommodation.service,Accommodation_Service,3.0
277,147,228,accommodation.service,Accommodation_Service,4.0
278,147,229,accommodation.service,Accommodation_Service,5.0
279,147,230,accommodation.service,Accommodation_Service,6.0
280,147,231,accommodation.service,Accommodation_Service,7.0
281,111,232,accommodation.service,Accommodation_Service,1.0
282,111,233,accommodation.service,Accommodation_Service,2.0
283,111,234,accommodation.service,Accommodation_Service,3.0
284,111,235,accommodation.service,Accommodation_Service,4.0
285,111,236,accommodation.service,Accommodation_Service,5.0
286,111,237,accommodation.service,Accommodation_Service,6.0
287,149,238,accommodation.service,Accommodation_Service,1.0
288,149,239,accommodation.service,Accommodation_Service,2.0
289,149,240,accommodation.service,Accommodation_Service,3.0
290,149,241,accommodation.service,Accommodation_Service,4.0
291,149,242,accommodation.service,Accommodation_Service,5.0
292,149,243,accommodation.service,Accommodation_Service,6.0
295,150,244,accommodation.service,Accommodation_Service,1.0
296,150,245,accommodation.service,Accommodation_Service,2.0
298,151,246,accommodation.service,Accommodation_Service,1.0
300,152,247,accommodation.service,Accommodation_Service,1.0
302,154,248,accommodation.service,Accommodation_Service,1.0
306,156,249,accommodation.service,Accommodation_Service,1.0
307,156,250,accommodation.service,Accommodation_Service,2.0
308,156,251,accommodation.service,Accommodation_Service,3.0
312,157,252,accommodation.service,Accommodation_Service,1.0
313,157,253,accommodation.service,Accommodation_Service,2.0
314,157,254,accommodation.service,Accommodation_Service,3.0
315,92,255,accommodation.service,Accommodation_Service,1.0
317,158,256,accommodation.service,Accommodation_Service,1.0
318,108,257,accommodation.service,Accommodation_Service,1.0
319,108,258,accommodation.service,Accommodation_Service,2.0
320,159,259,accommodation.service,Accommodation_Service,1.0
321,159,260,accommodation.service,Accommodation_Service,2.0
322,83,261,accommodation.service,Accommodation_Service,1.0
323,83,262,accommodation.service,Accommodation_Service,2.0
324,83,263,accommodation.service,Accommodation_Service,3.0
325,83,264,accommodation.service,Accommodation_Service,4.0
326,160,265,accommodation.service,Accommodation_Service,1.0
327,160,266,accommodation.service,Accommodation_Service,2.0
328,160,267,accommodation.service,Accommodation_Service,3.0
329,160,268,accommodation.service,Accommodation_Service,4.0
330,89,269,accommodation.service,Accommodation_Service,1.0
